54,0,0,2,0,1,1,0,0,0,1
54,0,0,84,15,3,4,2,1,2,0
29,0,0,118130,6154,2820,3713,1015,1360,682,165
29,0,0,513469,43731,24215,16721,7790,8218,2867,6241
200,0,0,241027,180541,82834,44407,35845,16669,6206,7598
200,0,0,87208,101584,6140,5433,13229,7795,3883,3654
200,0,0,1107083,625814,52771,36811,19326,18377,20627,17358
200,0,0,506902,95365,6809,10016,21981,7344,20549,5069
200,0,0,237900,134126,83968,14848,38578,12916,3529,3307
200,0,0,1893014,325892,181214,248347,112365,109963,60061,37986
200,0,0,587009,183759,54996,92900,167440,113264,33213,21826
200,0,0,605055,33724,1254,53659,56771,60736,9196,6200
200,0,0,752446,14333,36846,26658,30655,43595,20215,9328
200,0,0,559303,31444,13739,7146,24855,21507,14418,7529
200,0,0,1402749,730865,52158,50325,25920,47339,37046,21661
200,0,0,1182677,197651,25885,10116,8022,11615,13828,13387
200,0,0,1370886,8873,3834,2306,3755,2540,3976,4081
200,0,0,260887,144526,11149,16985,17723,10623,15445,8957
200,0,0,970314,426452,79450,19779,45269,22449,14094,15740
200,0,0,1185278,94325,25237,63708,94194,39934,38409,30232
200,0,0,213209,41177,29771,23555,16203,2271,864,1196
200,0,0,1173381,45688,2684,2745,3586,6247,3453,4418
200,0,0,0,1,0,0,1,0,0,0
200,0,0,4,0,0,1,1,1,0,0
200,0,0,15,1,0,0,1,1,1,1
200,0,0,596055,544676,284280,943144,642107,560979,538574,284205
200,0,0,523060,48214,50206,45972,28589,3828,3988,3732
200,0,0,571734,9777,1316,4258,4696,25119,25089,17431
200,0,0,289482,272897,75906,114001,103572,46178,15609,9721
200,0,0,482948,123628,90409,61752,29212,21080,23080,10468
200,0,0,1557382,76989,3551,8081,15826,20693,13303,8958
200,0,0,928341,1034237,769101,965882,286810,410787,101606,93170
25,0,0,1310536,126118,12435,20494,15523,10803,2435,814
25,0,0,0,2,0,0,0,1,0,1
51,0,0,895357,504839,225329,99876,110212,81263,80964,39813
25,0,0,681528,22996,36663,36303,10171,5102,3098,2584
25,0,0,207997,12010,2561,4406,7455,12913,9811,4080
80,0,0,2993386,121922,166891,216794,178517,148670,25465,7960
80,0,0,1304731,320185,51743,202618,183152,132916,370529,385968
54,0,0,0,1,0,0,0,2,0,0
25,0,0,617655,281447,274351,226742,116760,36871,477,466
51,0,0,2664053,51824,7048,2215,7658,12054,1859,969
51,0,0,2076266,65049,3187,11203,7812,9103,1988,1690
80,0,0,389146,376154,51188,252687,73310,42109,45285,81422
54,0,0,11725,5072,1669,1117,738,339,133,92
54,0,0,0,0,0,0,0,0,0,1
54,0,0,1,1,0,0,0,0,0,0
200,0,0,201039,61899,11439,9769,612,7722,7644,2499
200,0,0,134,70,30,20,13,7,2,3
200,0,0,9695,2608,563,638,504,605,629,838
200,0,0,15149,16537,8544,12655,13926,3617,7607,2544
200,0,0,1182154,162945,48663,31083,33340,18850,18031,10230
200,0,0,131777,133644,32257,60117,62705,18581,24285,10735
200,0,0,1225542,1420695,72030,329146,279141,198288,111736,41613
200,0,0,1202742,368632,162594,306412,80178,194796,115398,56777
200,0,0,666590,54515,86573,75241,79364,12405,3276,1409
51,0,0,681680,21587,17567,7972,21922,17392,4245,4981
51,0,0,434377,111629,49947,91344,100054,54393,80566,37188
80,0,0,352017,201712,246698,199925,21583,49615,10218,8644
51,0,0,1438589,1190714,470040,498939,562659,452651,130857,125041
54,0,0,5,3,0,1,1,1,0,0
54,0,0,0,1,0,0,0,0,0,1
54,0,0,9590,12049,10761,6603,5264,1112,742,604
80,0,0,1456272,239335,32234,212787,76596,193259,470825,195727
200,0,0,276372,24471,20486,20110,36314,36353,13158,15350
200,0,0,1012593,321050,46407,61832,33557,33098,5590,7491
200,0,0,997802,22342,16216,18283,20357,14681,6256,1647
200,0,0,455057,62588,57801,41466,45031,62560,6616,14859
51,0,0,1033098,437898,73406,112490,168392,66032,84812,64003
25,0,0,652953,148348,8235,85929,141708,413917,560509,473215
25,0,0,429,268,122,80,47,29,15,15
25,0,0,1540155,534508,211537,99399,82741,60493,50164,29461
0,0,0,776482,26122,33056,28825,12533,10917,6974,4698
0,0,0,693645,50285,3747,7686,14726,4656,3397,1716
0,0,0,948309,399886,349261,134586,100643,82165,74093,43386
0,41,41,557144,173077,59524,43471,17204,28337,21195,7437
0,64,50,142214,40638,35604,46480,45568,26387,11482,5107
0,81,60,575649,30566,67155,18401,24601,19646,18976,3502
0,100,67,3141306,209650,193648,268068,228910,160155,136918,30514
0,100,75,1089631,104815,221708,68871,71422,99431,63902,29799
0,100,78,795804,39521,45267,24346,9789,14364,22461,5616
0,93,69,806682,97345,23634,40482,18582,16015,20489,5113
0,90,63,646829,217603,89851,102490,135287,88108,61539,18580
0,80,51,371600,224101,45834,122950,276257,57408,122516,14144
25,80,51,741583,258193,130995,328050,196881,144287,18410,32111
54,80,51,11463,4315,1600,980,604,324,114,80
80,80,51,1435462,77599,13895,79464,40455,28221,44555,50079
54,80,51,3,7,2,0,2,2,1,1
54,80,51,1,2,0,1,3,2,1,1
200,0,0,12,4,0,1,1,1,1,1
200,0,0,19,1,1,0,1,1,0,0
200,0,0,12935,746,428,680,764,557,342,466
200,0,0,1949,5888,2665,4645,35632,5527,2924,3486
200,0,0,699911,95254,43742,5577,60988,7450,15776,9161
200,0,0,812891,385014,236946,129065,87460,128015,57532,33943
200,0,0,164376,48829,13691,6525,1832,3763,3746,3261
